observed_on,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-08-09,13.6536325198,76.0709911957,Vulpes bengalensis,Indian Fox,Mammalia
2025-08-08,12.9494158,77.5846805,Anas platyrhynchos domesticus,Domestic Mallard,Aves
2025-08-08,12.9494158,77.5846805,Anas,"Mallards, Pintails, and Allies",Aves
2025-08-09,13.5026627748,75.0903152302,Ahaetulla farnsworthi,Farnsworth's Vine Snake,Reptilia
2025-08-10,12.8516116667,77.5908716667,Microcarbo niger,Little Cormorant,Aves
2025-08-10,12.8516116667,77.5908716667,Fulica atra,Eurasian Coot,Aves
2025-08-10,12.8516116667,77.5908716667,Egretta garzetta,Little Egret,Aves
2025-08-09,13.5026627748,75.0903152302,Duttaphrynus,Asian Toads,Amphibia
2025-08-09,13.5026627748,75.0903152302,Craspedocephalus malabaricus,Malabarian Pit Viper,Reptilia
2025-08-09,13.1789728334,77.5919352956,Fowlea piscator,Chequered Keelback,Reptilia
2025-08-09,13.1809168608,77.5906095929,Duttaphrynus melanostictus,Asian Common Toad,Amphibia
2025-08-09,13.1788775344,77.5903358198,Fowlea,Fishing Keelbacks,Reptilia
2025-08-10,12.928505,77.6275466667,Haliastur indus,Brahminy Kite,Aves
2025-08-03,13.8327916667,74.8014666667,Chrysopelea ornata,Golden Tree Snake,Reptilia
2025-08-10,13.1375255883,77.5777844712,Fowlea piscator,Chequered Keelback,Reptilia
2025-08-10,12.9423633985,77.5120934844,Nycticorax nycticorax,Black-crowned Night Heron,Aves
2025-08-10,12.9434632659,77.5099208951,Prinia sylvatica,Jungle Prinia,Aves
2025-08-10,12.9198110797,77.6786815495,Alcedo atthis,Common Kingfisher,Aves
2025-08-09,12.8746774,77.4985169,Cyornis tickelliae,Tickell's Blue Flycatcher,Aves
2025-08-09,12.8746774,77.4985169,Nycticorax nycticorax,Black-crowned Night Heron,Aves
2025-08-09,12.8746774,77.4985169,Prinia socialis,Ashy Prinia,Aves
2025-08-09,12.8746774,77.4985169,Cyornis tickelliae,Tickell's Blue Flycatcher,Aves
2025-08-09,12.8746774,77.4985169,Saxicola caprata,Pied Bushchat,Aves
2025-08-09,12.8746774,77.4985169,Ardea purpurea,Purple Heron,Aves
2025-08-09,12.8746774,77.4985169,Dendrocygna javanica,Lesser Whistling-Duck,Aves
2025-08-09,12.8746774,77.4985169,Cinnyris asiaticus,Purple Sunbird,Aves
